itcID,SpeciesID
1179,PIPA2
1009,PIPA2
549,AMLA
267,QUAL
668,QUCO2
1184,PIPA2
1447,PIPA2
276,TSCA
1287,LYLU3
146,QUAL
46,QURU
115,QURU
1090,PIPA2
1401,PIPA2
332,QURU
1400,QUGE2
1214,PIPA2
94,MAGNO
1489,PIPA2
183,LITU
255,QUAL
104,MAGNO
364,QURU
1205,PIPA2
230,QUAL
73,QURU
55,QURU
445,ROPS
1127,PIPA2
1228,PIPA2
159,QURU
421,NYSY
80,AMLA
1343,PIPA2
683,QURU
446,NYSY
1409,QUNI
385,ACRU
454,QUCO2
393,ACRU
1094,PIPA2
1242,QULA2
403,ACRU
597,QUAL
473,ACRU
1260,PIPA2
1179,PIPA2
1011,PIPA2
209,QURU
382,ACRU
1235,PIPA2
392,ACRU
345,QUCO2
568,NYSY
1032,PIPA2
1106,PIPA2
255,QUAL
668,QUCO2
1494,PIPA2
292,QUMO4
1090,PIPA2
639,QUMO4
323,QURU
351,QURU
320,FAGR
309,QURU
146,QUAL
92,QURU
1449,PIPA2
494,AMLA
1489,PIPA2
425,QUCO2
637,ACRU
112,QURU
483,QUAL
1148,PIPA2
664,QUAL
122,QURU
1119,PIPA2
604,ACRU
1470,PIPA2
516,QURU
1024,PIPA2
69,QURU
1044,PIPA2
368,QUCO2
276,TSCA
1044,PIPA2
284,QUMO4
441,QUCO2
1453,PIPA2
1406,QUNI
1185,PIPA2
1326,PIPA2
330,QURU
132,ACRU
1215,PIPA2
649,QURU
346,QURU
248,ACRU
96,CAGL8
217,QUAL
1438,QULA2
243,QUCO2
579,ACRU
273,QUMO4
1259,PIPA2
37,QUAL
1201,PIPA2
1028,QULA3
1296,PIEL
201,QURU
620,ACRU
295,QUMO4
1258,PIPA2
76,QURU
366,NYSY
500,QUAL
534,MAGNO
1082,PIPA2
91,QURU
172,QUAL
1243,PIPA2
397,ACRU
1014,QUGE2
1016,PIPA2
572,QUCO2
1057,QULA2
1226,PIPA2
585,QUAL
1225,PIPA2
428,QUCO2
478,ACRU
654,NYSY
129,ACRU
12,QURU
124,ACRU
231,QUAL
526,AMLA
1420,QULA2
274,ACRU
274,ACRU
478,ACRU
1075,PIPA2
1097,PIPA2
1241,QULA2
1383,PIPA2
1037,PIPA2
405,QURU
558,QUAL
1151,PIPA2
589,ROPS
586,QUAL
220,QURU
306,QURU
1073,PIPA2
65,BETUL
278,LITU
271,MAGNO
1407,QUHE2
422,QURU
334,QURU
613,ACRU
246,QUCO2
213,QUAL
1248,PIPA2
421,NYSY
1380,PIPA2
1287,LYLU3
625,AMLA
284,QUMO4
1458,PIPA2
399,AMLA
585,QUAL
400,ACRU
195,CAGL8
1425,QUGE2
234,TSCA
1223,PIPA2
381,ACRU
685,LITU
236,QUAL
144,QUCO2
558,QUAL
1285,NYBI
605,ACRU
425,QUCO2
1452,PIPA2
143,QUCO2
1131,PIPA2
386,ACRU
1142,PIPA2
254,OXYDE
540,QUCO2
254,OXYDE
227,QURU
1003,PIPA2
1276,PIPA2
674,QURU
647,MAGNO
1230,PIPA2
562,QURU
462,ACRU
33,NYSY
562,QURU
360,NYSY
113,ACRU
294,NYSY
1108,QULA2
153,ACRU
1001,PIPA2
1096,PIPA2
1229,PIPA2
513,NYSY
1172,PIPA2
1150,PIPA2
518,ACRU
662,NYSY
1002,PIPA2
37,QUAL
577,QURU
76,QURU
648,MAGNO
626,ACRU
106,QURU
1262,PIPA2
617,QUAL
457,QUAL
697,QUCO2
1275,PIPA2
1120,PIPA2
1052,PIPA2
1491,PIPA2
464,QURU
270,QURU
501,ACRU
519,QURU
219,QURU
424,AMLA
339,ACRU
1452,PIPA2
387,NYSY
251,QUCO2
488,ACRU
1162,QULA2
27,QUAL
172,QUAL
133,QURU
12,QURU
1138,PIPA2
391,QUAL
1039,PIPA2
118,QUAL
271,MAGNO
590,ACRU
111,QUAL
691,QURU
562,QURU
578,QUCO2
1012,PIPA2
387,NYSY
5,MAGNO
391,QUAL
244,OXYDE
1215,PIPA2
29,QUAL
334,QURU
708,OXYDE
23,NYSY
647,MAGNO
442,QURU
560,QURU
521,NYSY
491,ACRU
409,AMLA
1025,QUGE2
1199,PIPA2
282,QUMO4
120,QURU
552,ACRU
171,QUAL
338,ACRU
335,QURU
406,NYSY
122,QURU
1153,PIPA2
477,QUCO2
281,QUAL
65,BETUL
286,ACRU
1476,PIPA2
405,QURU
96,CAGL8
608,ACRU
283,QURU
307,QURU
549,AMLA
1069,PIPA2
37,QUAL
1286,ACRU
414,QUAL
1383,PIPA2
494,AMLA
1148,PIPA2
1263,PIPA2
526,AMLA
141,QUCO2
1257,PIPA2
1011,PIPA2
459,QUCO2
301,BETUL
1378,PIPA2
187,LITU
518,ACRU
1160,QULA2
1022,PIPA2
193,MAGNO
1217,PIPA2
374,ACRU
1028,QULA3
1338,PIPA2
1047,PIPA2
1264,PIPA2
250,PINUS
1345,PIPA2
1202,PIPA2
651,QURU
253,ACRU
1355,PIPA2
1152,PIPA2
230,QUAL
559,QUCO2
1406,QUNI
1333,PIPA2
569,NYSY
185,LITU
1464,PIPA2
365,NYSY
1,AMLA
704,QUAL
1266,PIPA2
225,ACRU
452,QUCO2
1381,PIPA2
1156,PIPA2
103,ACPE
601,ACRU
591,ACRU
373,QURU
1133,PIPA2
1010,PIPA2
332,QURU
1419,PIPA2
1404,QUGE2
1031,QULA2
1214,PIPA2
1488,PIPA2
1291,GOLA
507,QUCO2
1479,PIPA2
433,ACRU
1025,QUGE2
24,ACRU
283,QURU
124,ACRU
1126,PIPA2
483,QUAL
206,PRSE2
1134,PIPA2
484,QUCO2
1473,PIPA2
156,AMLA
607,QURU
198,ACRU
1406,QUNI
1112,PIPA2
1450,QULA2
1264,PIPA2
1483,PIPA2
144,QUCO2
1034,PIPA2
600,QUAL
561,QURU
508,ACRU
190,CATO6
1142,PIPA2
1480,PIPA2
1180,PIPA2
1010,PIPA2
1204,PIPA2
554,ACRU
421,NYSY
569,NYSY
419,AMLA
681,QUAL
461,PINUS
1135,PIPA2
480,ACRU
1469,PIPA2
421,NYSY
215,QURU
278,LITU
1197,PIPA2
256,QURU
489,ACRU
143,QUCO2
699,ACRU
188,LITU
1309,QULA2
1076,PIPA2
477,QUCO2
1168,QULA2
130,QURU
1297,PIEL
1222,QULA2
1226,PIPA2
1190,QULA2
1139,PIPA2
185,LITU
1404,QUGE2
420,ACRU
1259,PIPA2
354,NYSY
129,ACRU
222,QURU
1344,PIPA2
1405,PIPA2
321,QURU
1423,QULA2
224,QURU
1195,PIPA2
692,ACRU
407,QUAL
1487,QUGE2
679,QUAL
209,QURU
458,QURU
11,QUAL
553,QUAL
1028,QULA3
318,QURU
1098,PIPA2
170,PRSE2
1191,PIPA2
1099,PIPA2
462,ACRU
510,QURU
404,NYSY
1291,GOLA
294,NYSY
323,QURU
375,NYSY
1479,PIPA2
185,LITU
1011,PIPA2
87,ACPE
284,QUMO4
480,ACRU
135,AMLA
1274,PIPA2
706,QURU
53,QURU
36,QURU
539,ACRU
1169,QULA2
1400,QUGE2
378,ACRU
1486,PIPA2
94,MAGNO
158,QURU
1048,PIPA2
1218,PIPA2
367,NYSY
489,ACRU
663,ACRU
534,MAGNO
1031,QULA2
483,QUAL
114,AMLA
1427,PIPA2
1392,PIPA2
223,QUAL
187,LITU
1037,PIPA2
1327,PIPA2
261,PINUS
1208,QULA2
1295,PIEL
1428,PIPA2
393,ACRU
431,QUAL
1275,PIPA2
1299,PIEL
6,ACRU
450,AMLA
1065,PIPA2
1308,QULA2
191,QUAL
542,AMLA
428,QUCO2
431,QUAL
473,ACRU
528,AMLA
1004,PIPA2
61,ACPE
1004,PIPA2
496,ACRU
1451,PIPA2
520,ACRU
556,QUAL
242,QUCO2
1128,PIPA2
20,QUAL
549,AMLA
1209,PIPA2
505,ACRU
1201,PIPA2
1057,QULA2
134,AMLA
617,QUAL
1158,QULA2
1186,PIPA2
1203,PIPA2
442,QURU
334,QURU
114,AMLA
1482,PIPA2
1138,PIPA2
491,ACRU
299,FAGR
514,QURU
613,ACRU
10,NYSY
1447,PIPA2
278,LITU
268,QURU
92,QURU
513,NYSY
1179,PIPA2
573,ACRU
1124,PIPA2
620,ACRU
212,PRSE2
1026,QUGE2
210,ACRU
609,QURU
1259,PIPA2
45,QURU
570,ACRU
92,QURU
500,QUAL
9,QURU
217,QUAL
635,QUMO4
132,ACRU
1352,PIPA2
375,NYSY
675,QURU
668,QUCO2
1142,PIPA2
1451,PIPA2
511,AMLA
641,AMLA
1297,PIEL
1492,PIPA2
171,QUAL
1142,PIPA2
424,AMLA
1256,PIPA2
499,ACRU
313,FAGR
64,QURU
533,ACRU
246,QUCO2
572,QUCO2
253,ACRU
1430,PIPA2
690,LITU
399,AMLA
1242,QULA2
312,QURU
339,ACRU
1191,PIPA2
20,QUAL
498,QUAL
429,ACRU
1230,PIPA2
136,QURU
111,QUAL
262,PINUS
155,ACRU
470,TSCA
559,QUCO2
1427,PIPA2
1120,PIPA2
1170,PIPA2
128,QURU
235,QUAL
20,QUAL
1243,PIPA2
1065,PIPA2
58,QURU
1024,PIPA2
1174,QULA2
215,QURU
1492,PIPA2
131,QURU
620,ACRU
101,ACRU
430,MAGNO
386,ACRU
1081,PIPA2
1125,QUHE2
182,LITU
1348,PIPA2
679,QUAL
256,QURU
133,QURU
55,QURU
3,QUERC
1463,PIPA2
412,QUAL
1096,PIPA2
1387,PIPA2
440,QUAL
675,QURU
413,AMLA
549,AMLA
243,QUCO2
330,QURU
79,QURU
301,BETUL
1064,PIPA2
1196,PIPA2
146,QUAL
1256,PIPA2
1037,PIPA2
602,QURU
188,LITU
484,QUCO2
533,ACRU
469,NYSY
1447,PIPA2
1327,PIPA2
240,LITU
244,OXYDE
387,NYSY
46,QURU
1055,PIPA2
1086,PIPA2
1233,QULA2
507,QUCO2
1019,QUGE2
1049,PIPA2
1279,QULA2
1269,PIPA2
373,QURU
272,LITU
74,BETUL
160,QURU
659,AMLA
1251,PIPA2
1013,PIPA2
1190,QULA2
1412,QULA2
116,ACRU
702,QURU
425,QUCO2
24,ACRU
1482,PIPA2
1293,QUGE2
546,AMLA
579,ACRU
408,NYSY
653,QUCO2
45,QURU
1334,PIPA2
340,QURU
1038,QULA2
518,ACRU
1170,PIPA2
112,QURU
306,QURU
1067,PIPA2
1014,QUGE2
437,AMLA
562,QURU
487,ACRU
1186,PIPA2
408,NYSY
1444,PIPA2
181,LITU
517,QURU
1429,PIPA2
416,QURU
617,QUAL
69,QURU
98,QUAL
1384,PIPA2
663,ACRU
1033,PIPA2
396,ACRU
329,ACRU
536,ACRU
1206,PIPA2
1115,QULA2
166,PITA
281,QUAL
659,AMLA
1246,PIPA2
1186,PIPA2
534,MAGNO
409,AMLA
1310,PIPA2
570,ACRU
1104,QULA2
1390,PIPA2
512,QUAL
98,QUAL
84,ACRU
269,QURU
490,AMLA
124,ACRU
1057,QULA2
315,ACRU
1224,PIPA2
614,QURU
1290,PEPA37
1419,PIPA2
88,QURU
1485,PIPA2
1289,PEPA37
450,AMLA
425,QUCO2
458,QURU
1263,PIPA2
606,QUAL
440,QUAL
468,ACRU
376,NYSY
1197,PIPA2
247,ACRU
1401,PIPA2
169,ACRU
1011,PIPA2
319,QURU
53,QURU
514,QURU
1496,PIPA2
519,QURU
1086,PIPA2
1387,PIPA2
1269,PIPA2
78,BETUL
653,QUCO2
657,ACPE
661,ACRU
174,OXYDE
1212,PIPA2
121,QUAL
247,ACRU
1184,PIPA2
520,ACRU
355,AMLA
691,QURU
308,BETUL
591,ACRU
333,QURU
499,ACRU
276,TSCA
319,QURU
519,QURU
1456,PIPA2
699,ACRU
625,AMLA
144,QUCO2
454,QUCO2
249,ACRU
312,QURU
189,LITU
1199,PIPA2
104,MAGNO
1228,PIPA2
1069,PIPA2
1301,PIEL
542,AMLA
152,QURU
