itcID,SpeciesID,GenusID
2549,PSMEM,PS
2534,PSMEM,PS
2533,PSMEM,PS
2492,PSMEM,PS
2493,PSMEM,PS
2552,PSMEM,PS
2546,PSMEM,PS
2546,PSMEM,PS
2495,PSMEM,PS
2497,PSMEM,PS
2538,PSMEM,PS
2539,PSMEM,PS
2539,PSMEM,PS
2513,PSMEM,PS
2513,PSMEM,PS
2555,PSMEM,PS
2510,PSMEM,PS
2509,PSMEM,PS
2509,PSMEM,PS
2554,PSMEM,PS
2507,PSMEM,PS
2525,PSMEM,PS
2529,PSMEM,PS
2518,ALRU2,AL
2515,PSMEM,PS
2517,PSMEM,PS
2519,ALRU2,AL
2521,ALRU2,AL
229,FAGR,FA
211,FAGR,FA
208,FAGR,FA
230,FAGR,FA
181,TSCA,TS
235,TSCA,TS
186,ACRU,AC
191,FAGR,FA
191,FAGR,FA
175,FAGR,FA
178,TSCA,TS
193,TSCA,TS
193,TSCA,TS
169,BEAL2,BE
238,TSCA,TS
149,FAGR,FA
140,FAGR,FA
140,FAGR,FA
138,ACSAS,AC
138,ACSAS,AC
137,ACSAS,AC
137,ACSAS,AC
125,ACSAS,AC
125,ACSAS,AC
148,FAGR,FA
289,FAGR,FA
273,TSCA,TS
133,FAGR,FA
146,TSCA,TS
292,FAGR,FA
271,FAGR,FA
271,FAGR,FA
270,BEAL2,BE
60,BEAL2,BE
63,TSCA,TS
144,TSCA,TS
61,TSCA,TS
162,ACRU,AC
46,TSCA,TS
46,TSCA,TS
41,TSCA,TS
33,TSCA,TS
33,TSCA,TS
38,BEPA,BE
27,TSCA,TS
27,TSCA,TS
276,BEPA,BE
276,BEPA,BE
18,BEAL2,BE
18,BEAL2,BE
18,BEAL2,BE
196,FAGR,FA
21,BEPA,BE
225,TSCA,TS
16,POGR4,PO
19,FAGR,FA
19,FAGR,FA
19,FAGR,FA
12,BEPA,BE
12,BEPA,BE
109,BEPA,BE
203,TSCA,TS
203,TSCA,TS
203,TSCA,TS
222,TSCA,TS
156,TSCA,TS
227,TSCA,TS
227,TSCA,TS
205,TSCA,TS
199,TSCA,TS
215,TSCA,TS
215,TSCA,TS
201,FAGR,FA
103,TSCA,TS
105,FAGR,FA
106,FAGR,FA
90,ACRU,AC
102,ACRU,AC
108,TSCA,TS
108,TSCA,TS
92,ACRU,AC
97,BEPA,BE
85,TSCA,TS
98,TSCA,TS
99,TSCA,TS
78,FAGR,FA
77,FAGR,FA
254,POGR4,PO
259,FRAM2,FR
259,FRAM2,FR
242,ACRU,AC
264,FRAM2,FR
261,ACRU,AC
247,ACRU,AC
255,ACRU,AC
239,ACRU,AC
239,ACRU,AC
246,ACRU,AC
265,ACRU,AC
241,BEPA,BE
256,BEAL2,BE
256,BEAL2,BE
316,TSCA,TS
316,TSCA,TS
315,TSCA,TS
305,TSCA,TS
304,TSCA,TS
304,TSCA,TS
310,TSCA,TS
302,TSCA,TS
297,TSCA,TS
75,TSCA,TS
299,TSCA,TS
308,BEAL2,BE
66,TSCA,TS
337,FAGR,FA
