crown_id,species_id,species
1341,QURU,Quercus
1341,QURU,Quercus
1341,QURU,Quercus
1341,QURU,Quercus
1336,QURU,Quercus
1336,QURU,Quercus
1336,QURU,Quercus
1338,QURU,Quercus
1338,QURU,Quercus
1338,QURU,Quercus
1345,QURU,Quercus
1345,QURU,Quercus
1345,QURU,Quercus
1331,QUAL,Quercus
1331,QUAL,Quercus
1331,QUAL,Quercus
1331,QUAL,Quercus
1337,ACRU,Acer
1337,ACRU,Acer
1347,ACRU,Acer
1347,ACRU,Acer
1347,ACRU,Acer
1347,ACRU,Acer
1340,QUAL,Quercus
1340,QUAL,Quercus
1340,QUAL,Quercus
1343,QUAL,Quercus
1343,QUAL,Quercus
1332,QUAL,Quercus
1332,QUAL,Quercus
1332,QUAL,Quercus
1329,QUAL,Quercus
1329,QUAL,Quercus
1348,QUAL,Quercus
1348,QUAL,Quercus
1348,QUAL,Quercus
1348,QUAL,Quercus
1335,QURU,Quercus
1339,ACRU,Acer
1339,ACRU,Acer
1339,ACRU,Acer
1339,ACRU,Acer
1396,QURU,Quercus
1396,QURU,Quercus
1396,QURU,Quercus
1384,QURU,Quercus
1384,QURU,Quercus
1384,QURU,Quercus
1394,QURU,Quercus
1394,QURU,Quercus
1394,QURU,Quercus
1394,QURU,Quercus
1362,QURU,Quercus
1362,QURU,Quercus
1362,QURU,Quercus
1380,QURU,Quercus
1375,ACRU,Acer
1375,ACRU,Acer
1375,ACRU,Acer
1365,QURU,Quercus
1365,QURU,Quercus
1365,QURU,Quercus
1387,QUAL,Quercus
1387,QUAL,Quercus
1387,QUAL,Quercus
1397,QURU,Quercus
1397,QURU,Quercus
1397,QURU,Quercus
1386,QURU,Quercus
1386,QURU,Quercus
1386,QURU,Quercus
1386,QURU,Quercus
1389,QURU,Quercus
1389,QURU,Quercus
1389,QURU,Quercus
1392,QURU,Quercus
1392,QURU,Quercus
1392,QURU,Quercus
1383,QURU,Quercus
1398,QURU,Quercus
1398,QURU,Quercus
1398,QURU,Quercus
1388,QURU,Quercus
1388,QURU,Quercus
1388,QURU,Quercus
1393,QURU,Quercus
1393,QURU,Quercus
1393,QURU,Quercus
1374,QURU,Quercus
1374,QURU,Quercus
1361,QURU,Quercus
1361,QURU,Quercus
1361,QURU,Quercus
1361,QURU,Quercus
1353,QURU,Quercus
1353,QURU,Quercus
1353,QURU,Quercus
1352,QURU,Quercus
1352,QURU,Quercus
1352,QURU,Quercus
1356,QURU,Quercus
1356,QURU,Quercus
1355,QUAL,Quercus
1355,QUAL,Quercus
1355,QUAL,Quercus
1358,QURU,Quercus
1358,QURU,Quercus
1358,QURU,Quercus
1395,QURU,Quercus
1395,QURU,Quercus
1395,QURU,Quercus
1381,QURU,Quercus
1381,QURU,Quercus
1381,QURU,Quercus
1381,QURU,Quercus
1366,QURU,Quercus
1373,QURU,Quercus
1373,QURU,Quercus
1373,QURU,Quercus
1359,QURU,Quercus
1359,QURU,Quercus
1359,QURU,Quercus
1368,QURU,Quercus
1368,QURU,Quercus
1364,QURU,Quercus
1364,QURU,Quercus
1364,QURU,Quercus
1364,QURU,Quercus
1357,QURU,Quercus
1357,QURU,Quercus
1357,QURU,Quercus
1354,QURU,Quercus
1354,QURU,Quercus
1354,QURU,Quercus
1414,QUAL,Quercus
1405,QURU,Quercus
1405,QURU,Quercus
1401,QURU,Quercus
1401,QURU,Quercus
1401,QURU,Quercus
1409,ACRU,Acer
1409,ACRU,Acer
1409,ACRU,Acer
1409,ACRU,Acer
1404,QURU,Quercus
1404,QURU,Quercus
1404,QURU,Quercus
1404,QURU,Quercus
1411,QURU,Quercus
1411,QURU,Quercus
1411,QURU,Quercus
1411,QURU,Quercus
1408,QURU,Quercus
1408,QURU,Quercus
1408,QURU,Quercus
1408,QURU,Quercus
1403,QURU,Quercus
1403,QURU,Quercus
1403,QURU,Quercus
1406,QURU,Quercus
1406,QURU,Quercus
1406,QURU,Quercus
1439,QUAL,Quercus
1439,QUAL,Quercus
1439,QUAL,Quercus
1441,QURU,Quercus
1441,QURU,Quercus
1421,QUAL,Quercus
