id,indvdID
57,MLBS01681
45,MLBS01679
49,MLBS01674
63,MLBS01678
50,MLBS01675
56,MLBS01661
51,MLBS01660
58,MLBS01651
47,MLBS01887
53,MLBS01648
55,MLBS01647
43,MLBS01641
42,MLBS01640
41,MLBS01645
61,MLBS01643
44,MLBS01642
59,MLBS01637
64,MLBS01636
60,MLBS01628
46,MLBS01666A
48,MLBS01671A
97,MLBS01772
98,MLBS01770
95,MLBS01769
96,MLBS01765
99,MLBS01759
94,MLBS01757
105,MLBS01740
101,MLBS01742
100,MLBS01738
104,MLBS01731
102,MLBS01730
103,MLBS01729
159,MLBS01696
150,MLBS01692
148,MLBS01684
151,MLBS01682
158,MLBS01689
145,MLBS01723
146,MLBS01722
154,MLBS01720
157,MLBS01714
149,MLBS01718
153,MLBS01711
152,MLBS01710
160,MLBS01702
156,MLBS01706
147,MLBS01685A
155,MLBS01704A
172,MLBS01892
162,MLBS01891
161,MLBS01890
163,MLBS01889
164,MLBS01888
167,MLBS01883
168,MLBS01881
170,MLBS01880
166,MLBS01886
171,MLBS01884
169,MLBS01879
707,MLBS01867
706,MLBS01866
700,MLBS01864
175,MLBS01862
173,MLBS01850
174,MLBS01851
701,MLBS01847
702,MLBS01846
704,MLBS01849
705,MLBS01848
179,MLBS01835
703,MLBS01833
176,MLBS01822
708,MLBS01821
178,MLBS01820
177,MLBS01819
186,MLBS01793
690,MLBS01798
187,MLBS01789
188,MLBS01781
189,MLBS01785
190,MLBS01779
689,MLBS01778
180,MLBS01777
181,MLBS01776
686,MLBS01975
182,MLBS01809
685,MLBS01808
184,MLBS01802
183,MLBS01806
185,MLBS01805
326,MLBS01596
325,MLBS01591
327,MLBS01584
328,MLBS01589
333,MLBS01575
324,MLBS01572
323,MLBS01578
331,MLBS01577
336,MLBS01569
329,MLBS01568
335,MLBS01626
330,MLBS01622
691,MLBS01614
332,MLBS01618
334,MLBS01605
209,MLBS01992
210,MLBS01996
208,MLBS01987
205,MLBS01982
206,MLBS01983
202,MLBS01971
203,MLBS01974
197,MLBS01967
201,MLBS01965
199,MLBS01963
216,MLBS01961
212,MLBS01955
214,MLBS01954
198,MLBS01959
204,MLBS01953
217,MLBS01944
213,MLBS01943
692,MLBS01977A
215,MLBS02001
211,MLBS02000
227,MLBS02047A
228,MLBS02011A
224,MLBS02030B
694,MLBS02046
695,MLBS02043
696,MLBS02038
225,MLBS02031
223,MLBS02028
220,MLBS02019A
219,MLBS02020
218,MLBS02016
222,MLBS02009
221,MLBS02006
244,MLBS02300
697,MLBS02245A
242,MLBS02241B
249,MLBS02297
250,MLBS02296
252,MLBS02281
258,MLBS02271
253,MLBS02270
248,MLBS02265
257,MLBS02261
256,MLBS02244
255,MLBS02243
254,MLBS02242
246,MLBS02235
251,MLBS02232
247,MLBS02230
245,MLBS02227
243,MLBS02217
194,MLBS02377
196,MLBS02376
192,MLBS02367
191,MLBS02366
240,MLBS02359
241,MLBS02358
195,MLBS02348
193,MLBS02346
356,MLBS00283A
650,MLBS00297
368,MLBS00295
357,MLBS00292A
366,MLBS00287
363,MLBS00285
367,MLBS00289
355,MLBS00282
354,MLBS00279
362,MLBS00337
364,MLBS00335
358,MLBS00329
365,MLBS00328
359,MLBS00323
649,MLBS00318
371,MLBS00312
361,MLBS00311
360,MLBS00307
651,MLBS00302
273,MLBS02427
275,MLBS02421
274,MLBS02423
272,MLBS02419
280,MLBS02417
269,MLBS02410
281,MLBS02415
277,MLBS02412
278,MLBS02405
276,MLBS02402
268,MLBS02398
270,MLBS02389
271,MLBS02381
310,MLBS02073A
296,MLBS02083A
300,MLBS02109A
322,MLBS02093
303,MLBS02096
318,MLBS02084
305,MLBS02082
297,MLBS02081
